metodo_a,metodo_b,numero_pares,tasa_exito_a,tasa_exito_b,diferencia_exito_b_menos_a,ic_bootstrap_95_inferior,ic_bootstrap_95_superior,a_exito_b_fallo,a_fallo_b_exito,p_mcnemar_exacto,p_mcnemar_holm,significativo_0_05_holm
A* + DWA,A* + TD3,200,0.915,0.68,-0.235,-0.3,-0.17,53,6,1.7539187463500028e-10,1.7539187463500028e-09,1
A* + DWA,A* + SAC-R,200,0.915,0.825,-0.09,-0.155,-0.025,31,13,0.009559878856634896,0.04779939428317448,1
A* + DWA,A* + SAC-PO-TTC,200,0.915,0.815,-0.1,-0.165,-0.035,34,14,0.005515201485501109,0.03309120891300665,1
A* + DWA,A* + SAC-UPO-TTC,200,0.915,0.755,-0.16,-0.225,-0.095,41,9,5.614100093254137e-06,5.0526900839287237e-05,1
A* + TD3,A* + SAC-R,200,0.68,0.825,0.145,0.07,0.22,17,46,0.0003367093494662382,0.0026936747957299056,1
A* + TD3,A* + SAC-PO-TTC,200,0.68,0.815,0.135,0.06,0.21,18,45,0.0008980471786680215,0.0062863302506761505,1
A* + TD3,A* + SAC-UPO-TTC,200,0.68,0.755,0.075,-0.005,0.155,28,43,0.09592363141082376,0.28777089423247126,0
A* + SAC-R,A* + SAC-PO-TTC,200,0.825,0.815,-0.01,-0.075,0.05,22,20,0.8776143287523155,0.8776143287523155,0
A* + SAC-R,A* + SAC-UPO-TTC,200,0.825,0.755,-0.07,-0.14,0.0,33,19,0.07039422106706228,0.2815768842682491,0
A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.815,0.755,-0.06,-0.13,0.01,32,20,0.12634707581392135,0.28777089423247126,0
