condicion,semilla,metodo,numero_pasos_percepcion,numero_pasos_huella,huella_percepcion_primeros_pasos,latencia_pasos,sigma_posicion_m,sigma_velocidad_m_s,version_generador_ruido
incertidumbre_moderada,170000,A* + DWA,225,3,e8b78671aa3a55098c9b79e5aafc179c457270902790682eabc7205fba12c966,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170000,A* + TD3,213,3,e8b78671aa3a55098c9b79e5aafc179c457270902790682eabc7205fba12c966,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170000,A* + SAC-R,247,3,e8b78671aa3a55098c9b79e5aafc179c457270902790682eabc7205fba12c966,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170000,A* + SAC-PO-TTC,252,3,e8b78671aa3a55098c9b79e5aafc179c457270902790682eabc7205fba12c966,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170000,A* + SAC-UPO-TTC,253,3,e8b78671aa3a55098c9b79e5aafc179c457270902790682eabc7205fba12c966,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170001,A* + DWA,199,3,d3795859c852eb51a44fba3ff310435fa9ab2de6ac4689a31cd423a0664a57ee,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170001,A* + TD3,161,3,d3795859c852eb51a44fba3ff310435fa9ab2de6ac4689a31cd423a0664a57ee,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170001,A* + SAC-R,255,3,d3795859c852eb51a44fba3ff310435fa9ab2de6ac4689a31cd423a0664a57ee,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170001,A* + SAC-PO-TTC,262,3,d3795859c852eb51a44fba3ff310435fa9ab2de6ac4689a31cd423a0664a57ee,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170001,A* + SAC-UPO-TTC,301,3,d3795859c852eb51a44fba3ff310435fa9ab2de6ac4689a31cd423a0664a57ee,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170002,A* + DWA,188,3,8c433f379b27e4b448c48531e97c219c0bdda35ce6486a1a1e7b915bc028cadb,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170002,A* + TD3,219,3,8c433f379b27e4b448c48531e97c219c0bdda35ce6486a1a1e7b915bc028cadb,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170002,A* + SAC-R,230,3,8c433f379b27e4b448c48531e97c219c0bdda35ce6486a1a1e7b915bc028cadb,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170002,A* + SAC-PO-TTC,220,3,8c433f379b27e4b448c48531e97c219c0bdda35ce6486a1a1e7b915bc028cadb,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170002,A* + SAC-UPO-TTC,224,3,8c433f379b27e4b448c48531e97c219c0bdda35ce6486a1a1e7b915bc028cadb,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170003,A* + DWA,176,3,72057a0d519cc266b8a22ec21bc05b3758bf49f851d2c578536f4178c198cd20,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170003,A* + TD3,53,3,72057a0d519cc266b8a22ec21bc05b3758bf49f851d2c578536f4178c198cd20,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170003,A* + SAC-R,303,3,72057a0d519cc266b8a22ec21bc05b3758bf49f851d2c578536f4178c198cd20,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170003,A* + SAC-PO-TTC,203,3,72057a0d519cc266b8a22ec21bc05b3758bf49f851d2c578536f4178c198cd20,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170003,A* + SAC-UPO-TTC,331,3,72057a0d519cc266b8a22ec21bc05b3758bf49f851d2c578536f4178c198cd20,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170004,A* + DWA,183,3,e83700fcbe4be2794a72c3f339607773db415a097030a58c3eb61bd0e4989944,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170004,A* + TD3,222,3,e83700fcbe4be2794a72c3f339607773db415a097030a58c3eb61bd0e4989944,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170004,A* + SAC-R,222,3,e83700fcbe4be2794a72c3f339607773db415a097030a58c3eb61bd0e4989944,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170004,A* + SAC-PO-TTC,209,3,e83700fcbe4be2794a72c3f339607773db415a097030a58c3eb61bd0e4989944,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170004,A* + SAC-UPO-TTC,216,3,e83700fcbe4be2794a72c3f339607773db415a097030a58c3eb61bd0e4989944,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170005,A* + DWA,197,3,f155bab828acab4e52fda83bc4a116df8213d61519297e8502638989aaa40a87,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170005,A* + TD3,76,3,f155bab828acab4e52fda83bc4a116df8213d61519297e8502638989aaa40a87,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170005,A* + SAC-R,224,3,f155bab828acab4e52fda83bc4a116df8213d61519297e8502638989aaa40a87,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170005,A* + SAC-PO-TTC,233,3,f155bab828acab4e52fda83bc4a116df8213d61519297e8502638989aaa40a87,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170005,A* + SAC-UPO-TTC,244,3,f155bab828acab4e52fda83bc4a116df8213d61519297e8502638989aaa40a87,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170006,A* + DWA,39,3,b4685fc7cdab594faafcb30e6f240368f6296309f4b2fea736182e65f4d251fe,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170006,A* + TD3,27,3,b4685fc7cdab594faafcb30e6f240368f6296309f4b2fea736182e65f4d251fe,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170006,A* + SAC-R,173,3,b4685fc7cdab594faafcb30e6f240368f6296309f4b2fea736182e65f4d251fe,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170006,A* + SAC-PO-TTC,102,3,b4685fc7cdab594faafcb30e6f240368f6296309f4b2fea736182e65f4d251fe,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170006,A* + SAC-UPO-TTC,87,3,b4685fc7cdab594faafcb30e6f240368f6296309f4b2fea736182e65f4d251fe,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170007,A* + DWA,225,3,2f4ab951d5cec54632e58ea8f4e69059595308f16eba1ee8b2312ba581c53bdc,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170007,A* + TD3,366,3,2f4ab951d5cec54632e58ea8f4e69059595308f16eba1ee8b2312ba581c53bdc,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170007,A* + SAC-R,287,3,2f4ab951d5cec54632e58ea8f4e69059595308f16eba1ee8b2312ba581c53bdc,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170007,A* + SAC-PO-TTC,282,3,2f4ab951d5cec54632e58ea8f4e69059595308f16eba1ee8b2312ba581c53bdc,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170007,A* + SAC-UPO-TTC,286,3,2f4ab951d5cec54632e58ea8f4e69059595308f16eba1ee8b2312ba581c53bdc,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170008,A* + DWA,144,3,6d71ac708b3dd1362866d06affdb4a1aaecb1ea8b46f1bfa91f516fa9a90405d,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170008,A* + TD3,175,3,6d71ac708b3dd1362866d06affdb4a1aaecb1ea8b46f1bfa91f516fa9a90405d,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170008,A* + SAC-R,176,3,6d71ac708b3dd1362866d06affdb4a1aaecb1ea8b46f1bfa91f516fa9a90405d,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170008,A* + SAC-PO-TTC,183,3,6d71ac708b3dd1362866d06affdb4a1aaecb1ea8b46f1bfa91f516fa9a90405d,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170008,A* + SAC-UPO-TTC,189,3,6d71ac708b3dd1362866d06affdb4a1aaecb1ea8b46f1bfa91f516fa9a90405d,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170009,A* + DWA,125,3,80d6e487dbb6d1c3e5e0d400b7486f7527c43269ebed2e47cab59bece9b00180,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170009,A* + TD3,26,3,80d6e487dbb6d1c3e5e0d400b7486f7527c43269ebed2e47cab59bece9b00180,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170009,A* + SAC-R,165,3,80d6e487dbb6d1c3e5e0d400b7486f7527c43269ebed2e47cab59bece9b00180,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170009,A* + SAC-PO-TTC,162,3,80d6e487dbb6d1c3e5e0d400b7486f7527c43269ebed2e47cab59bece9b00180,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170009,A* + SAC-UPO-TTC,172,3,80d6e487dbb6d1c3e5e0d400b7486f7527c43269ebed2e47cab59bece9b00180,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170010,A* + DWA,129,3,66eeb6713e126440f3cbd37e705cf65c34e068d5c79534538f324350294e1a14,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170010,A* + TD3,104,3,66eeb6713e126440f3cbd37e705cf65c34e068d5c79534538f324350294e1a14,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170010,A* + SAC-R,168,3,66eeb6713e126440f3cbd37e705cf65c34e068d5c79534538f324350294e1a14,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170010,A* + SAC-PO-TTC,163,3,66eeb6713e126440f3cbd37e705cf65c34e068d5c79534538f324350294e1a14,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170010,A* + SAC-UPO-TTC,170,3,66eeb6713e126440f3cbd37e705cf65c34e068d5c79534538f324350294e1a14,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170011,A* + DWA,195,3,a090cc00c9c86e0eeae05cbe1982eb203c893bffaab2f9f42bf7f5decc7f1734,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170011,A* + TD3,218,3,a090cc00c9c86e0eeae05cbe1982eb203c893bffaab2f9f42bf7f5decc7f1734,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170011,A* + SAC-R,249,3,a090cc00c9c86e0eeae05cbe1982eb203c893bffaab2f9f42bf7f5decc7f1734,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170011,A* + SAC-PO-TTC,242,3,a090cc00c9c86e0eeae05cbe1982eb203c893bffaab2f9f42bf7f5decc7f1734,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170011,A* + SAC-UPO-TTC,272,3,a090cc00c9c86e0eeae05cbe1982eb203c893bffaab2f9f42bf7f5decc7f1734,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170012,A* + DWA,167,3,a9690b24ddab7f216cb3090b4802cb58a08a0286323d9f6d376f39ce9296cb37,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170012,A* + TD3,120,3,a9690b24ddab7f216cb3090b4802cb58a08a0286323d9f6d376f39ce9296cb37,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170012,A* + SAC-R,204,3,a9690b24ddab7f216cb3090b4802cb58a08a0286323d9f6d376f39ce9296cb37,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170012,A* + SAC-PO-TTC,198,3,a9690b24ddab7f216cb3090b4802cb58a08a0286323d9f6d376f39ce9296cb37,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170012,A* + SAC-UPO-TTC,91,3,a9690b24ddab7f216cb3090b4802cb58a08a0286323d9f6d376f39ce9296cb37,1,0.04,0.06,fase2_percepcion_comun_v1
