metrica,numero_semillas_completas,estadistico_friedman,p_friedman
spl,200,72.56194690265538,6.529210581579878e-15
tiempo_simulado_s,200,292.4718309859156,4.555778559828602e-62
longitud_trayectoria_m,200,133.4720000000002,7.042761840825532e-28
distancia_final_meta_m,200,145.4079999999999,1.9613045952189335e-30
clearance_dinamico_minimo_m,200,267.26981745436353,1.2366711529699298e-56
clearance_total_percentil_5_m,200,105.1840000000002,7.738995115040699e-22
eventos_casi_colision_real,200,52.439393939394826,1.1163839262891887e-10
tiempo_en_casi_colision_s,200,46.71243523316049,1.7503843298790413e-09
ttc_real_minimo_s,182,216.75408895265434,9.362111365201656e-46
aceleracion_angular_rms_rad_s2,200,648.3159999999998,5.395898587818585e-139
jerk_angular_rms_rad_s3,200,585.2520000000004,2.4095583487610747e-125
esfuerzo_control_medio,200,388.2040000000002,9.83635501598947e-83
tiempo_ciclo_medio_ms,200,797.6360000000004,2.4969259257160786e-171
