metodo_a,metodo_b,numero_pares,tasa_exito_a,tasa_exito_b,diferencia_exito_b_menos_a,ic_bootstrap_95_inferior,ic_bootstrap_95_superior,a_exito_b_fallo,a_fallo_b_exito,p_mcnemar_exacto,p_mcnemar_holm,significativo_0_05_holm
A* + DWA,A* + TD3,200,0.885,0.68,-0.205,-0.275,-0.135,50,9,5.264832102225281e-08,5.264832102225281e-07,1
A* + DWA,A* + SAC-R,200,0.885,0.785,-0.1,-0.17,-0.03,36,16,0.0077874363057435225,0.05451205414020466,0
A* + DWA,A* + SAC-PO-TTC,200,0.885,0.805,-0.08,-0.15,-0.015,32,16,0.0293049467205293,0.1465247336026465,0
A* + DWA,A* + SAC-UPO-TTC,200,0.885,0.75,-0.135,-0.2,-0.07,37,10,9.848878492846325e-05,0.0008863990643561692,1
A* + TD3,A* + SAC-R,200,0.68,0.785,0.105,0.025,0.185,23,44,0.013933875024287792,0.08360325014572675,0
A* + TD3,A* + SAC-PO-TTC,200,0.68,0.805,0.125,0.05,0.205,20,45,0.0026263768106840383,0.021011014485472306,1
A* + TD3,A* + SAC-UPO-TTC,200,0.68,0.75,0.07,-0.015,0.15,28,42,0.11960933562988493,0.47843734251953973,0
A* + SAC-R,A* + SAC-PO-TTC,200,0.785,0.805,0.02,-0.045,0.085,21,25,0.6587380770236564,0.8375083765380311,0
A* + SAC-R,A* + SAC-UPO-TTC,200,0.785,0.75,-0.035,-0.105,0.035,31,24,0.41875418826901556,0.8375083765380311,0
A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.805,0.75,-0.055,-0.125,0.015,32,21,0.16897782228771874,0.5069334668631562,0
