metrica,metodo_a,metodo_b,numero_pares,media_a,media_b,mediana_a,mediana_b,diferencia_media_b_menos_a,diferencia_mediana_b_menos_a,estadistico_wilcoxon,p_wilcoxon,rank_biserial_signos_aprox,p_wilcoxon_holm,significativo_0_05_holm
spl,A* + DWA,A* + TD3,200,0.885,0.6752452554048451,1.0,1.0,-0.20975474459515497,0.0,495.0,1.802690802148157e-09,-0.7857142857142857,1.802690802148157e-08,1
spl,A* + DWA,A* + SAC-R,200,0.885,0.7835366245697665,1.0,1.0,-0.10146337543023354,0.0,514.0,0.0009130951697251424,-0.47540983606557374,0.0063916661880759965,1
spl,A* + DWA,A* + SAC-PO-TTC,200,0.885,0.8022965468041187,1.0,1.0,-0.08270345319588124,0.0,520.0,0.013726972326751852,-0.42857142857142855,0.06863486163375926,0
spl,A* + DWA,A* + SAC-UPO-TTC,200,0.885,0.7381161260650387,1.0,1.0,-0.1468838739349613,0.0,347.5,3.394734620303462e-07,-0.7014925373134329,3.0552611582731157e-06,1
spl,A* + TD3,A* + SAC-R,200,0.6752452554048451,0.7835366245697665,1.0,1.0,0.10829136916492142,0.0,1345.0,0.001414664217611948,0.34782608695652173,0.008487985305671688,1
spl,A* + TD3,A* + SAC-PO-TTC,200,0.6752452554048451,0.8022965468041187,1.0,1.0,0.12705129139927368,0.0,1212.0,0.0005048818553196433,0.4888888888888889,0.004039054842557147,1
spl,A* + TD3,A* + SAC-UPO-TTC,200,0.6752452554048451,0.7381161260650387,1.0,1.0,0.06287087066019366,0.0,2092.0,0.170893585084536,0.1717171717171717,0.341787170169072,0
spl,A* + SAC-R,A* + SAC-PO-TTC,200,0.7835366245697665,0.8022965468041187,1.0,1.0,0.01875992223435228,0.0,932.0,0.5856795325900537,0.14285714285714285,0.5856795325900537,0
spl,A* + SAC-R,A* + SAC-UPO-TTC,200,0.7835366245697665,0.7381161260650387,1.0,1.0,-0.04542049850472777,0.0,1238.0,0.08436733018111855,-0.26582278481012656,0.2531019905433557,0
spl,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.8022965468041187,0.7381161260650387,1.0,1.0,-0.06418042073908005,0.0,1111.5,0.02776944623503557,-0.28205128205128205,0.11107778494014228,0
tiempo_simulado_s,A* + DWA,A* + TD3,200,16.299,15.818500000000004,16.35,16.85,-0.4804999999999999,1.6000000000000014,8661.5,0.17369766836871503,0.3197969543147208,0.34739533673743006,0
tiempo_simulado_s,A* + DWA,A* + SAC-R,200,16.299,19.511000000000003,16.35,19.650000000000002,3.2120000000000006,3.1000000000000014,4033.0,3.4843331035935397e-13,0.678391959798995,2.4390331725154776e-12,1
tiempo_simulado_s,A* + DWA,A* + SAC-PO-TTC,200,16.299,20.392500000000002,16.35,20.3,4.093500000000001,3.3000000000000007,2132.0,7.162308213695833e-22,0.7889447236180904,6.446077392326249e-21,1
tiempo_simulado_s,A* + DWA,A* + SAC-UPO-TTC,200,16.299,21.4275,16.35,21.700000000000003,5.1285,4.5,2051.0,1.6661632853186384e-22,0.8,1.6661632853186385e-21,1
tiempo_simulado_s,A* + TD3,A* + SAC-R,200,15.818500000000004,19.511000000000003,16.85,19.650000000000002,3.6925,1.5,4936.0,7.090050618291537e-10,0.3969849246231156,3.5450253091457686e-09,1
tiempo_simulado_s,A* + TD3,A* + SAC-PO-TTC,200,15.818500000000004,20.392500000000002,16.85,20.3,4.574,2.0,4155.5,1.7356055713446941e-12,0.43434343434343436,1.0413633428068164e-11,1
tiempo_simulado_s,A* + TD3,A* + SAC-UPO-TTC,200,15.818500000000004,21.4275,16.85,21.700000000000003,5.609000000000001,3.4499999999999993,2942.0,1.1547525629572311e-17,0.6363636363636364,9.238020503657849e-17,1
tiempo_simulado_s,A* + SAC-R,A* + SAC-PO-TTC,200,19.511000000000003,20.392500000000002,19.650000000000002,20.3,0.8815000000000001,0.0,8810.0,0.40827228393326553,-0.020618556701030927,0.40827228393326553,0
tiempo_simulado_s,A* + SAC-R,A* + SAC-UPO-TTC,200,19.511000000000003,21.4275,19.650000000000002,21.700000000000003,1.9165000000000003,1.1000000000000014,6071.0,4.354548739451142e-06,0.38071065989847713,1.7418194957804568e-05,1
tiempo_simulado_s,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,20.392500000000002,21.4275,20.3,21.700000000000003,1.0350000000000004,0.9000000000000012,6147.5,3.54641351877659e-05,0.37823834196891193,0.0001063924055632977,1
longitud_trayectoria_m,A* + DWA,A* + TD3,200,9.503001733541735,8.602840388680052,9.21757480617433,8.802775434661633,-0.9001613448616809,0.3281774542165222,8465.0,0.05311684846686941,0.45,0.31870109080121645,0
longitud_trayectoria_m,A* + DWA,A* + SAC-R,200,9.503001733541735,9.449147996625806,9.21757480617433,9.418684257458525,-0.05385373691592701,0.35238771816375536,6263.0,3.822917423613417e-06,0.56,3.440625681252075e-05,1
longitud_trayectoria_m,A* + DWA,A* + SAC-PO-TTC,200,9.503001733541735,9.346075258046929,9.21757480617433,9.329118406739095,-0.1569264754948051,0.21912192956417975,5721.0,1.2769979311477837e-07,0.56,1.2769979311477836e-06,1
longitud_trayectoria_m,A* + DWA,A* + SAC-UPO-TTC,200,9.503001733541735,9.347614296544263,9.21757480617433,9.704397747544565,-0.15538743699747148,0.2858439734072018,6334.0,5.783526067889655e-06,0.55,4.626820854311724e-05,1
longitud_trayectoria_m,A* + TD3,A* + SAC-R,200,8.602840388680052,9.449147996625806,8.802775434661633,9.418684257458525,0.8463076079457542,0.03546544839008092,8926.0,0.17022808875893825,0.07,0.8511404437946912,0
longitud_trayectoria_m,A* + TD3,A* + SAC-PO-TTC,200,8.602840388680052,9.346075258046929,8.802775434661633,9.329118406739095,0.743234869366876,-0.10338431900812406,9579.0,0.5654941018445501,-0.12,0.941670662396366,0
longitud_trayectoria_m,A* + TD3,A* + SAC-UPO-TTC,200,8.602840388680052,9.347614296544263,8.802775434661633,9.704397747544565,0.7447739078642095,0.029738579383403074,9167.0,0.28129701734202717,0.03,0.8511404437946912,0
longitud_trayectoria_m,A* + SAC-R,A* + SAC-PO-TTC,200,9.449147996625806,9.346075258046929,9.418684257458525,9.329118406739095,-0.10307273857887818,-0.15857568192417038,7522.0,0.00203832776427243,-0.31,0.01426829434990701,1
longitud_trayectoria_m,A* + SAC-R,A* + SAC-UPO-TTC,200,9.449147996625806,9.347614296544263,9.418684257458525,9.704397747544565,-0.10153370008154457,-0.05379577792703394,9459.0,0.470835331198183,-0.08,0.941670662396366,0
