semilla,metodo_a,resultado_a,metodo_b,resultado_b
170013,A* + DWA,meta,A* + TD3,colision_dinamica
170016,A* + DWA,colision_dinamica,A* + TD3,meta
170030,A* + DWA,meta,A* + TD3,colision_dinamica
170031,A* + DWA,meta,A* + TD3,colision_dinamica
170037,A* + DWA,meta,A* + TD3,colision_dinamica
170039,A* + DWA,meta,A* + TD3,colision_dinamica
170040,A* + DWA,colision_dinamica,A* + TD3,meta
170042,A* + DWA,meta,A* + TD3,colision_dinamica
170056,A* + DWA,meta,A* + TD3,colision_dinamica
170057,A* + DWA,meta,A* + TD3,colision_dinamica
170060,A* + DWA,meta,A* + TD3,colision_dinamica
170062,A* + DWA,colision_dinamica,A* + TD3,meta
170063,A* + DWA,meta,A* + TD3,colision_dinamica
170067,A* + DWA,meta,A* + TD3,colision_dinamica
170068,A* + DWA,meta,A* + TD3,colision_dinamica
170070,A* + DWA,meta,A* + TD3,colision_estatica
170073,A* + DWA,colision_dinamica,A* + TD3,meta
170074,A* + DWA,meta,A* + TD3,colision_estatica
170075,A* + DWA,meta,A* + TD3,colision_dinamica
170076,A* + DWA,meta,A* + TD3,colision_dinamica
170080,A* + DWA,meta,A* + TD3,colision_dinamica
170085,A* + DWA,meta,A* + TD3,colision_dinamica
170086,A* + DWA,meta,A* + TD3,colision_dinamica
170092,A* + DWA,meta,A* + TD3,colision_dinamica
170100,A* + DWA,meta,A* + TD3,colision_dinamica
170102,A* + DWA,meta,A* + TD3,colision_estatica
170114,A* + DWA,meta,A* + TD3,colision_dinamica
170117,A* + DWA,meta,A* + TD3,colision_dinamica
170118,A* + DWA,meta,A* + TD3,colision_dinamica
170120,A* + DWA,meta,A* + TD3,colision_dinamica
170123,A* + DWA,meta,A* + TD3,colision_dinamica
170124,A* + DWA,meta,A* + TD3,colision_dinamica
170134,A* + DWA,meta,A* + TD3,colision_dinamica
170140,A* + DWA,meta,A* + TD3,colision_dinamica
170143,A* + DWA,meta,A* + TD3,colision_dinamica
170148,A* + DWA,meta,A* + TD3,colision_dinamica
170149,A* + DWA,meta,A* + TD3,colision_dinamica
170150,A* + DWA,meta,A* + TD3,colision_dinamica
170156,A* + DWA,meta,A* + TD3,colision_dinamica
170157,A* + DWA,meta,A* + TD3,colision_dinamica
170160,A* + DWA,meta,A* + TD3,colision_dinamica
170161,A* + DWA,meta,A* + TD3,colision_dinamica
170163,A* + DWA,colision_dinamica,A* + TD3,meta
170166,A* + DWA,meta,A* + TD3,colision_dinamica
170167,A* + DWA,colision_dinamica,A* + TD3,meta
170168,A* + DWA,meta,A* + TD3,colision_dinamica
170169,A* + DWA,meta,A* + TD3,colision_dinamica
170172,A* + DWA,meta,A* + TD3,colision_dinamica
170175,A* + DWA,meta,A* + TD3,colision_dinamica
170176,A* + DWA,meta,A* + TD3,colision_dinamica
170178,A* + DWA,meta,A* + TD3,colision_dinamica
170179,A* + DWA,meta,A* + TD3,colision_dinamica
170180,A* + DWA,meta,A* + TD3,colision_dinamica
170183,A* + DWA,colision_dinamica,A* + TD3,meta
170186,A* + DWA,meta,A* + TD3,colision_dinamica
170190,A* + DWA,colision_dinamica,A* + TD3,meta
170193,A* + DWA,meta,A* + TD3,colision_dinamica
170198,A* + DWA,meta,A* + TD3,colision_dinamica
