metodo_a,metodo_b,numero_pares,tasa_exito_a,tasa_exito_b,diferencia_exito_b_menos_a,ic_bootstrap_95_inferior,ic_bootstrap_95_superior,a_exito_b_fallo,a_fallo_b_exito,p_mcnemar_exacto,p_mcnemar_holm,significativo_0_05_holm
A* + DWA,A* + TD3,200,0.995,0.705,-0.29,-0.35,-0.23,58,0,6.938893903907228e-18,6.938893903907228e-17,1
A* + DWA,A* + SAC-R,200,0.995,0.815,-0.18,-0.235,-0.125,37,1,2.837623469531536e-10,2.270098775625229e-09,1
A* + DWA,A* + SAC-PO-TTC,200,0.995,0.84,-0.155,-0.21,-0.105,31,0,9.313225746154785e-10,6.51925802230835e-09,1
A* + DWA,A* + SAC-UPO-TTC,200,0.995,0.745,-0.25,-0.31,-0.195,51,1,2.353672812205332e-14,2.1183055309847987e-13,1
A* + TD3,A* + SAC-R,200,0.705,0.815,0.11,0.035,0.185,21,43,0.008146902228698568,0.040734511143492844,1
A* + TD3,A* + SAC-PO-TTC,200,0.705,0.84,0.135,0.06,0.21,17,44,0.0007299045109347684,0.0043794270656086105,1
A* + TD3,A* + SAC-UPO-TTC,200,0.705,0.745,0.04,-0.045,0.125,33,41,0.4159851975073048,0.8319703950146096,0
A* + SAC-R,A* + SAC-PO-TTC,200,0.815,0.84,0.025,-0.035,0.085,16,21,0.5113757815852296,0.8319703950146096,0
A* + SAC-R,A* + SAC-UPO-TTC,200,0.815,0.745,-0.07,-0.14,0.005,36,22,0.08694889972991099,0.26084669918973297,0
A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.84,0.745,-0.095,-0.17,-0.02,40,21,0.020414713799634897,0.08165885519853959,0
