metrica,numero_semillas_completas,estadistico_friedman,p_friedman
spl,200,75.09871723368657,1.8990566070195967e-15
tiempo_simulado_s,200,245.8645177537143,5.062705761138475e-52
longitud_trayectoria_m,200,70.69200000000001,1.6213764655566704e-14
distancia_final_meta_m,200,206.1959999999999,1.7480340595020478e-43
clearance_dinamico_minimo_m,200,229.32433108277095,1.845208904072753e-48
clearance_total_percentil_5_m,200,127.15200000000004,1.582578126060659e-26
eventos_casi_colision_real,200,101.02211302211298,5.959740357680474e-21
tiempo_en_casi_colision_s,200,91.82182628062444,5.400297067287576e-19
ttc_real_minimo_s,172,166.3281622911694,6.418377434631341e-35
aceleracion_angular_rms_rad_s2,200,645.7480000000005,1.9407944206678834e-138
jerk_angular_rms_rad_s3,200,637.768,1.036169848952655e-136
esfuerzo_control_medio,200,320.2080000000001,4.729580185082611e-68
tiempo_ciclo_medio_ms,200,796.8400000000001,3.7138326282459155e-171
