metodo,condicion,tasa_exito_nominal,tasa_exito_condicion,cambio_exito_puntos_porcentuales,cambio_colision_dinamica_puntos_porcentuales,cambio_casi_colision_puntos_porcentuales,cambio_spl,cambio_clearance_dinamico_m
A* + DWA,incertidumbre_moderada,0.995,0.915,-7.9999999999999964,8.0,15.000000000000002,-0.062163802576114535,0.006938060659679057
A* + DWA,incertidumbre_severa,0.995,0.885,-10.999999999999998,11.0,16.499999999999996,-0.09216380257611456,0.040161653363812666
A* + TD3,incertidumbre_moderada,0.705,0.68,-2.499999999999991,1.9999999999999962,3.0000000000000027,-0.02514122487041337,-0.016730606671442272
A* + TD3,incertidumbre_severa,0.705,0.68,-2.499999999999991,2.4999999999999964,9.500000000000004,-0.02596075531839126,-0.048927238121827754
A* + SAC-R,incertidumbre_moderada,0.815,0.825,1.0000000000000009,-1.4999999999999987,1.0000000000000009,0.008499641274194114,-0.014372067785891396
A* + SAC-R,incertidumbre_severa,0.815,0.785,-2.9999999999999916,3.0,2.4999999999999996,-0.029209821561485105,-0.03364652411682845
A* + SAC-PO-TTC,incertidumbre_moderada,0.84,0.815,-2.500000000000002,0.9999999999999996,2.0000000000000018,-0.025900939616049667,-0.00394202567272206
A* + SAC-PO-TTC,incertidumbre_severa,0.84,0.805,-3.499999999999992,2.4999999999999996,2.0000000000000018,-0.03388320179997839,-0.025672093342868907
A* + SAC-UPO-TTC,incertidumbre_moderada,0.745,0.755,1.0000000000000009,0.0,-1.5000000000000013,0.010074158574362335,0.03423742780241912
A* + SAC-UPO-TTC,incertidumbre_severa,0.745,0.75,0.5000000000000004,1.0000000000000009,0.5000000000000004,0.003996074016258122,0.04359571736195844
