metodo,numero_episodios,exitos,tasa_exito,ic_wilson_95_inferior,ic_wilson_95_superior,colision_estatica,tasa_colision_estatica,colision_dinamica,tasa_colision_dinamica,fuera_mapa,tasa_fuera_mapa,timeout,tasa_timeout,spl_medio,tiempo_exitos_media_s,longitud_exitos_media_m,distancia_final_media_m,clearance_dinamico_minimo_media_m,clearance_total_p5_media_m,episodios_con_casi_colision,tasa_episodios_con_casi_colision,eventos_casi_colision_media,tiempo_casi_colision_media_s,ttc_real_minimo_media_s,jerk_angular_rms_media,esfuerzo_control_medio,tiempo_ciclo_medio_ms,inferencia_actor_media_ms,brier_colision_predicha_media,brier_probabilidad_colision_media,ece_probabilidad_colision_media,condicion
A* + DWA,200,199,0.995,0.9722262956021069,0.9991168312843989,0,0.0,1,0.005,0,0.0,0,0.0,0.9771638025761146,17.325628140703518,10.512638586732642,0.5068387748688861,0.2705283288366021,0.23082606251076093,3,0.015,0.015,0.006000000000000001,1.8256635930485126,10.09455838205092,0.47307362732327407,111.15791326078924,110.81967982112754,nan,nan,nan,nominal_limpia
A* + TD3,200,141,0.705,0.6384128547538122,0.7638605614315084,3,0.015,56,0.28,0,0.0,0,0.0,0.7012060107232364,19.661702127659577,10.654095473821775,2.171905801787316,0.49818959997888884,0.29141978805395796,70,0.35,0.375,0.30450000000000005,1.3031514405164486,53.73794306287924,0.6663048810723905,1.5998553600290433,0.9312931020082499,nan,nan,nan,nominal_limpia
A* + SAC-R,200,163,0.815,0.7554293723884824,0.8626980719938395,1,0.005,31,0.155,0,0.0,5,0.025,0.8127464461312516,21.192024539877302,10.565239244187282,1.3078995016579038,0.7098587748984403,0.419774439507713,44,0.22,0.225,0.16449999999999998,2.154078319035378,41.99954593881449,0.4997451561848787,2.7646799741690655,2.0726125036426732,nan,nan,nan,nominal_limpia
A* + SAC-PO-TTC,200,168,0.84,0.7828592983793289,0.8843258796841297,13,0.065,16,0.08,0,0.0,3,0.015,0.836179748604097,21.37619047619048,10.518701708671719,1.3490862026674892,0.9279519380376826,0.39066848674280863,24,0.12,0.125,0.09050000000000001,2.7813102255526445,40.5041849740009,0.4737590727336919,10.685065892255077,2.366354715859727,0.013523219393056451,nan,nan,nominal_limpia
A* + SAC-UPO-TTC,200,149,0.745,0.6803707417954529,0.8003950482796865,11,0.055,30,0.15,4,0.02,6,0.03,0.7341200520487806,22.814093959731544,10.75066400676189,1.8018432076587694,0.9515987472482698,0.38991220766533274,38,0.19,0.215,0.12400000000000003,3.0962152645139396,42.87708469804252,0.4400166779034733,5.589323625716897,2.289080868959399,0.06985335386139412,0.01350865225919516,0.018984908373543274,nominal_limpia
A* + DWA,200,183,0.915,0.8681041292843443,0.9462542498225244,0,0.0,17,0.085,0,0.0,0,0.0,0.915,17.2,10.267811272443819,0.9576666405313757,0.27746638949628116,0.24711834323221563,33,0.165,0.18,0.12250000000000001,1.671481202255135,14.337143646959573,0.44235380451281814,106.22378000377095,105.89532191079707,nan,nan,nan,incertidumbre_moderada
A* + TD3,200,136,0.68,0.6124810156588646,0.7407346668453195,3,0.015,60,0.3,0,0.0,1,0.005,0.676064785852823,19.70808823529412,10.650348824059423,2.292496589527302,0.48145899330744657,0.27808665654535647,76,0.38,0.4,0.2975,1.2227426956613954,52.85792090183786,0.6849421463148593,1.9714521585874254,0.8364610024485871,nan,nan,nan,incertidumbre_moderada
A* + SAC-R,200,165,0.825,0.7663556885175099,0.8713948493372666,2,0.01,28,0.14,0,0.0,5,0.025,0.8212460874054457,21.3769696969697,10.57203016478917,1.3443168297488974,0.6954867071125489,0.4138885852995707,46,0.23,0.245,0.19800000000000004,2.1813645085808093,43.58473331077085,0.49966294236088177,3.200924761482664,2.0304229767524626,nan,nan,nan,incertidumbre_moderada
A* + SAC-PO-TTC,200,163,0.815,0.7554293723884824,0.8626980719938395,16,0.08,18,0.09,0,0.0,3,0.015,0.8102788089880474,21.421472392638037,10.550869416377804,1.4544794091700124,0.9240099123649606,0.37920354891564423,28,0.14,0.145,0.12,2.8266974055142264,43.42730375530907,0.4830204731443552,10.672084507817855,2.2196853033483874,0.016509066030814624,nan,nan,incertidumbre_moderada
A* + SAC-UPO-TTC,200,151,0.755,0.6909575644379659,0.8094313191096282,14,0.07,30,0.15,2,0.01,3,0.015,0.744194210623143,22.868211920529802,10.724282720219048,1.7825560274609797,0.9858361750506889,0.3934622197583393,35,0.175,0.19,0.10900000000000003,3.2668487561081054,44.6160362880078,0.4423202579159703,5.68804172535034,2.12362577507009,0.07137594282447694,0.012894770750575556,0.018124668082418333,incertidumbre_moderada
