episodio,tasa_exito,tasa_colision_dinamica,tasa_colision_estatica,tasa_fuera_mapa,tasa_timeout,recompensa_media,distancia_final_media,clearance_minimo_promedio_exitos,numero_metas,numero_colisiones_dinamicas,numero_colisiones_estaticas,numero_fuera_mapa,numero_timeout,nuevo_mejor,criterio_1_exito,criterio_2_timeout,criterio_3_colision_dinamica,criterio_4_colision_estatica,criterio_5_fuera_mapa,criterio_6_distancia_final,criterio_7_clearance
20,0.84,0.1,0.0,0.0,0.06,100.82255995267865,0.9092298816792515,0.39276682550356834,42,5,0,0,3,1,0.84,-0.06,-0.1,-0.0,-0.0,-0.9092298816792515,0.39276682550356834
40,0.84,0.1,0.0,0.0,0.06,100.82255995267865,0.9092298816792515,0.39276682550356834,42,5,0,0,3,0,0.84,-0.06,-0.1,-0.0,-0.0,-0.9092298816792515,0.39276682550356834
60,0.84,0.1,0.0,0.0,0.06,100.82255995267865,0.9092298816792515,0.39276682550356834,42,5,0,0,3,0,0.84,-0.06,-0.1,-0.0,-0.0,-0.9092298816792515,0.39276682550356834
80,0.64,0.12,0.04,0.0,0.2,-21.854885938895,1.9005348772541557,0.30471576026542463,32,6,2,0,10,0,0.64,-0.2,-0.12,-0.04,-0.0,-1.9005348772541557,0.30471576026542463
100,0.64,0.26,0.08,0.02,0.0,13.616732239435764,2.5512124504670752,0.28484161599765145,32,13,4,1,0,0,0.64,-0.0,-0.26,-0.08,-0.02,-2.5512124504670752,0.28484161599765145
120,0.62,0.22,0.1,0.02,0.04,36.48008838683725,2.535508784460816,0.2869627599646297,31,11,5,1,2,0,0.62,-0.04,-0.22,-0.1,-0.02,-2.535508784460816,0.2869627599646297
140,0.62,0.18,0.16,0.0,0.04,38.63538976622496,2.4728416072233337,0.3552500920449734,31,9,8,0,2,0,0.62,-0.04,-0.18,-0.16,-0.0,-2.4728416072233337,0.3552500920449734
160,0.62,0.22,0.1,0.0,0.06,-7.336091843014697,2.2201866452259647,0.32222768993785206,31,11,5,0,3,0,0.62,-0.06,-0.22,-0.1,-0.0,-2.2201866452259647,0.32222768993785206
180,0.68,0.24,0.06,0.0,0.02,27.18710550177344,2.1982982415146335,0.2834004835545617,34,12,3,0,1,0,0.68,-0.02,-0.24,-0.06,-0.0,-2.1982982415146335,0.2834004835545617
200,0.82,0.08,0.06,0.0,0.04,114.73025259357615,1.2465956935925144,0.34187899058552446,41,4,3,0,2,0,0.82,-0.04,-0.08,-0.06,-0.0,-1.2465956935925144,0.34187899058552446
220,0.76,0.18,0.06,0.0,0.0,97.13423991593065,1.8954499642353722,0.31471560170076013,38,9,3,0,0,0,0.76,-0.0,-0.18,-0.06,-0.0,-1.8954499642353722,0.31471560170076013
240,0.74,0.16,0.08,0.02,0.0,87.34165392477678,2.0987993476589324,0.3252062703140483,37,8,4,1,0,0,0.74,-0.0,-0.16,-0.08,-0.02,-2.0987993476589324,0.3252062703140483
260,0.72,0.14,0.1,0.02,0.02,81.8871688290405,1.8458445781390593,0.3572660106592359,36,7,5,1,1,0,0.72,-0.02,-0.14,-0.1,-0.02,-1.8458445781390593,0.3572660106592359
280,0.74,0.14,0.1,0.0,0.02,103.24474228572777,2.1357941599241816,0.33232628226114946,37,7,5,0,1,0,0.74,-0.02,-0.14,-0.1,-0.0,-2.1357941599241816,0.33232628226114946
300,0.86,0.06,0.06,0.02,0.0,155.70114486638755,1.5069788314473564,0.3178184481026376,43,3,3,1,0,1,0.86,-0.0,-0.06,-0.06,-0.02,-1.5069788314473564,0.3178184481026376
320,0.82,0.04,0.06,0.0,0.08,159.0486722580821,1.0873017101685178,0.3509149281531514,41,2,3,0,4,0,0.82,-0.08,-0.04,-0.06,-0.0,-1.0873017101685178,0.3509149281531514
340,0.84,0.04,0.06,0.0,0.06,169.08092838801298,1.4610682773297894,0.39711245161175757,42,2,3,0,3,0,0.84,-0.06,-0.04,-0.06,-0.0,-1.4610682773297894,0.39711245161175757
360,0.84,0.14,0.02,0.0,0.0,155.16953312976182,1.287932835067103,0.33313346094630325,42,7,1,0,0,0,0.84,-0.0,-0.14,-0.02,-0.0,-1.287932835067103,0.33313346094630325
380,0.84,0.1,0.04,0.0,0.02,141.28504304268273,1.1067029957321055,0.3442172781900298,42,5,2,0,1,0,0.84,-0.02,-0.1,-0.04,-0.0,-1.1067029957321055,0.3442172781900298
400,0.86,0.04,0.1,0.0,0.0,185.8085800792878,1.2263926898151158,0.3350972199315551,43,2,5,0,0,1,0.86,-0.0,-0.04,-0.1,-0.0,-1.2263926898151158,0.3350972199315551
