numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
1,65000,meta,1,0,0,0,0,167,16.7,177.31517587967582,8.352171265900598,0.49940885157240456,1.046473218705607,0.18758078132696285,0.20998506065871053,0.3404810574776678,0.5213405358828874,0.13384228796810332,0.13384228796810332,1.018576088292855,12.84022947326557,34.078794594109056,11.441862513014742
2,65001,meta,1,0,0,0,0,185,18.5,290.1267446380948,10.111767447228049,0.4934477644402848,1.046652612191809,0.14642718458881235,0.20174465855058424,0.5173112044317469,0.33417639058929993,0.7330601403508412,0.33417639058929993,0.9388950487370723,12.19978411026596,44.52368271164596,10.771492711477334
3,65002,meta,1,0,0,0,0,211,21.1,313.6795430067224,11.30976231623375,0.49808029313788443,1.0126357069674996,0.2163116730666898,0.2580248961398954,0.46464506743462586,0.34602164725870965,0.7978116858253779,0.34602164725870965,1.0776548348170827,11.066588070950575,54.233938300609594,12.081136180377317
4,65003,meta,1,0,0,0,0,323,32.300000000000004,467.4821501499666,18.891863907420014,0.4956635827295394,1.0398276251849576,0.16130485382573578,0.194149964281611,0.44603754701753573,0.2988889651858567,1.9258620324083124,0.2988889651858567,1.309690019894582,9.994806271771168,76.8359790509101,21.151814208112196
5,65004,meta,1,0,0,0,0,163,16.3,180.10819312424587,6.930708111732072,0.4998592861051993,1.0933917844041907,0.15453992514014817,0.1752836696094248,0.4367144691944107,0.40359636923373554,0.4995441444946497,0.40359636923373554,0.7516781796184329,7.471991161154029,37.69197122305631,6.804690630559944
6,65005,meta,1,0,0,0,0,167,16.7,234.18753644324858,9.047501845645995,0.4948621875579303,1.0311966254276401,0.21661909184034206,0.2688224820333019,0.6131721689053151,0.27707567040279524,0.789551094677371,0.27707567040279524,0.9163634160690557,8.597303058568059,37.97614580933004,9.032010668096188
7,65006,meta,1,0,0,0,0,327,32.7,276.5682612269889,10.805195380659097,0.4968924254939207,1.0861077033266557,0.14641213421191182,0.1797069370292759,0.6132260737317683,0.2043971139142382,1.6886624602084535,0.2043971139142382,1.3631874405032434,11.99709439333041,89.75422157496212,10.272256084410825
8,65007,meta,1,0,0,0,0,221,22.1,336.78320788539367,11.889765588041936,0.4950688833261068,1.0577171913166221,0.1282473915252522,0.15201222770592715,0.41105853673476817,0.29917284581075465,0.9265695369639912,0.29917284581075465,0.6380003995141871,14.878757305808545,52.39516307637095,12.100061255150678
9,65008,meta,1,0,0,0,0,241,24.1,376.12031132834437,13.041997700849816,0.4935108282148083,1.0687807145254438,0.11441702645282019,0.14472957098902733,0.35156843487292705,0.14230891936327617,0.8881856699726578,0.14230891936327617,0.8234199775606528,14.847030444773116,51.77715504094958,11.873273066142822
10,65009,meta,1,0,0,0,0,350,35.0,214.024683823947,11.51874166922883,0.4931330159817572,1.0552257041124704,0.12525897585797746,0.15607537320780168,0.46022994024221564,0.3455151217824771,0.4596007235722516,0.3455151217824771,1.0341308267363916,13.862772738893135,81.41453417828306,11.561567826418084
11,65010,meta,1,0,0,0,0,160,16.0,242.03811186039772,7.0887171988042335,0.4959000314954424,1.0894440764770341,0.2557330392466787,0.3114381685166583,0.5853038951377437,0.7900103452870145,0.7536968507090249,0.7536968507090249,1.3276593683010094,8.282228554285583,40.763901890674596,6.025841451490783
12,65011,meta,1,0,0,0,0,288,28.8,179.51528569247893,9.072810184181266,0.4987703823116631,1.0833693621781528,0.14320879503287423,0.17130508568859212,0.34609846845425607,0.2205128461502074,1.1653199062955872,0.2205128461502074,1.3031107212974553,8.669651623815298,57.36988470042124,8.296109272203331
13,65012,meta,1,0,0,0,0,274,27.400000000000002,458.4246858917151,15.211829470213676,0.49612225444781766,1.0800468003775197,0.21950276631165114,0.25961217943653747,0.5310241187506275,0.14388924647103118,1.0673098124823217,0.14388924647103118,0.9109196364146954,11.760163195672234,69.20186819881201,15.327291977848688
14,65013,meta,1,0,0,0,0,201,20.1,206.49061892269566,9.449299511042943,0.49934729404130757,1.0632596655192255,0.14077882407164694,0.16223420491411422,0.34243495197650375,0.21911839175020142,0.15603634296485158,0.15603634296485158,0.9575233163956168,8.79406498296311,46.80224584117531,12.035965367062964
