numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
15,65014,colision_estatica,0,1,0,0,0,20,2.0,-87.62598121517459,1.5409820475661358,8.211516450150672,nan,0.13651341697349448,0.19381430913978093,0.4254226029735859,-0.018136542266989852,3.194108317182945,-0.018136542266989852,0.2933939864052427,1.8935733675956725,4.823469425737858,1.489640237195652
26,65025,colision_dinamica,0,0,1,0,0,101,10.100000000000001,-38.92163536545823,7.011953614022076,6.317815359356838,nan,0.2226940263277636,0.24426088596094472,0.45194002672799016,0.617886424372534,-0.004635917435770132,-0.004635917435770132,1.2554070100873864,6.528563064336776,26.67623733244836,7.386165390027966
33,65032,colision_estatica,0,1,0,0,0,157,15.700000000000001,-96.29647422605832,7.168681625151036,4.996183080530421,nan,0.2157034866686334,0.2537507670851097,0.48417965002104246,-0.004006011554840705,0.7932458009132944,-0.004006011554840705,0.6032417578445857,8.232719266414641,40.71466574184596,7.573992728714943
36,65035,colision_dinamica,0,0,1,0,0,74,7.4,-71.71437594943721,6.136104238765241,2.6803827122221393,nan,0.16838322692170182,0.19165843388028764,0.31846832961534854,0.3658853533308217,-0.0060604558967640165,-0.0060604558967640165,0.6910127427609525,3.002803373336792,18.782695880532266,6.837597262171435
42,65041,colision_dinamica,0,0,1,0,0,191,19.1,-215.24734701786,6.4495428824099985,5.776433622956468,nan,0.17422118512675241,0.24336897934680046,0.559488707956626,0.31133504845132176,-0.08077011334132123,-0.08077011334132123,0.5851304344335974,18.31841757807415,52.935792019404474,5.034702899260459
44,65043,colision_dinamica,0,0,1,0,0,191,19.1,-179.3581517581855,10.852802576625797,7.523573991293996,nan,0.11804238157372554,0.1525064180105102,0.3899553682978085,0.06400017185501239,-0.007972160105723936,-0.007972160105723936,0.35827548846067314,15.745731589198112,50.29057887047529,10.888219813025287
53,65052,colision_dinamica,0,0,1,0,0,87,8.700000000000001,-83.10973979553171,6.120127903163923,7.400597844538828,nan,0.17557351688201053,0.19770071764326466,0.32604553321445595,0.21242429572198007,-0.004021242763862287,-0.004021242763862287,0.48454718251420736,8.009636944532394,21.53557493388652,6.268456747974756
69,65068,timeout,0,0,0,0,1,400,40.0,-220.0181884864035,9.91657737503728,0.7647536581947246,nan,0.4687004316291515,0.5597915610205367,0.7786388535375015,0.22542225653401626,0.8479150695704257,0.22542225653401626,1.117823328741817,10.708410955215877,80.66759198172949,10.821996745838836
73,65072,timeout,0,0,0,0,1,400,40.0,-126.80027791518894,9.987833636848498,0.5201599244813255,nan,0.2668273072300439,0.2874526487193139,0.39392410797612776,0.36297687135928525,0.9943414519193695,0.36297687135928525,0.9469640327545176,9.38080152160946,61.16893435306847,9.842384381954922
79,65078,colision_dinamica,0,0,1,0,0,115,11.5,-103.98983989615378,5.7762416503166465,6.293677886724776,nan,0.31399896718673853,0.35357141468290865,0.5249842230375101,0.4680806740159159,-0.037433420844612375,-0.037433420844612375,1.1482362638629835,10.367687816172838,26.859364571701732,5.247099716083414
85,65084,colision_dinamica,0,0,1,0,0,62,6.2,-127.99240889327099,3.8025919666663106,6.539248830316758,nan,0.1915417554589464,0.24211590175721015,0.43574718387464273,0.4573317708521326,-0.017059540948537122,-0.017059540948537122,0.8950468243860142,7.344732707738876,17.413285470008848,3.5387176947227283
87,65086,colision_dinamica,0,0,1,0,0,59,5.9,-109.47562859685321,4.682902255829858,5.973504898218157,nan,0.11625765571662668,0.15781655406748313,0.3569488684417334,0.16790341831070288,-0.04267360321034519,-0.04267360321034519,0.8506544704006626,4.530786905065179,13.748176869750024,4.722723548189325
90,65089,colision_dinamica,0,0,1,0,0,119,11.9,-345.6824020316476,1.849859827832318,5.337596461370005,nan,0.08067384322427577,0.09318777121005557,0.18410241218989815,0.29642013520795696,-0.03786824558357588,-0.03786824558357588,0.45965476302530156,6.031117230653763,25.40884606093168,1.1609593103451106
91,65090,colision_dinamica,0,0,1,0,0,96,9.600000000000001,-73.11698977829678,7.051798922429062,6.768516800052666,nan,0.19768555883560454,0.26260724548455383,0.6830273142651003,0.41094595588124727,-0.019918571870928825,-0.019918571870928825,0.757825600997407,8.303811487555505,27.570467065274713,7.740252182756648
92,65091,colision_estatica,0,1,0,0,0,137,13.700000000000001,-81.92168331500139,7.145859706660567,1.709790061053243,nan,0.12619968251129599,0.16686085904071307,0.42990522808059994,-0.006724538215803544,0.3986150930044823,-0.006724538215803544,0.355333162542183,10.611526164412497,31.951791773177682,6.263005410973633
93,65092,colision_estatica,0,1,0,0,0,121,12.100000000000001,-147.70188467255394,4.84991459591331,6.279959090259123,nan,0.1991488685072014,0.212434895112259,0.38187222061301807,-0.0005647831919658453,0.8339170475727555,-0.0005647831919658453,0.2572112267838206,7.977216438949108,28.048682261258364,4.683445527299749
