numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
1,87000,meta,1,0,0,0,0,220,22.0,203.662321801865,13.167833019974834,0.4980468284611211,0.9412760210043944,0.41912504439550796,0.598498400440921,1.205305050072345,0.34949791706224465,0.308384430377125,0.308384430377125,0.9646055803803508,11.746147935192784,48.89822649601847,16.40743294781838
2,87001,meta,1,0,0,0,0,235,23.5,256.275660549163,9.419138244267653,0.4972630413997197,0.9712752966736682,0.277711293934795,0.3040050517637031,0.5606966853439292,1.1356754040243962,0.7312577781620153,0.7312577781620153,1.3371104691574935,15.269271128424759,61.74123626127839,10.331774220207572
3,87002,meta,1,0,0,0,0,137,13.700000000000001,302.22172200732666,9.895724693714055,0.4983967201772168,1.084421871379099,0.10009821797199007,0.12710128093512912,0.2779655943507171,0.31092920260875123,0.9598196728957243,0.31092920260875123,0.569738935197676,5.872317421526363,32.447834986820816,9.970542997563712
4,87003,meta,1,0,0,0,0,287,28.700000000000003,275.3944158390352,14.909524406186925,0.496792098626722,1.0349256918699437,0.22167376391157273,0.2683889705365443,0.6647472106169344,0.12137997362981046,0.508111861582713,0.12137997362981046,0.7345620840172387,19.47319255988497,63.39561378117651,15.090289515007406
5,87004,meta,1,0,0,0,0,163,16.3,275.5918451121567,7.658025413537648,0.49262975976806284,1.0498246026229683,0.1235419522391163,0.14115547445205487,0.2849047799714722,1.1781127307572472,0.7530203897588459,0.7530203897588459,1.3025402472022256,8.513664333971517,43.989914840459825,7.319027666035604
6,87005,meta,1,0,0,0,0,236,23.6,-222.54170909982594,9.293758460646881,0.4998045251448775,1.0461653570728662,0.15262343620221241,0.20609755423175694,0.4203135508720361,0.052068873936242877,0.21281304220034092,0.052068873936242877,0.528428266963953,12.188398483994764,46.82301055528224,9.187845738508214
7,87006,meta,1,0,0,0,0,209,20.900000000000002,298.0276082120455,11.382646920524989,0.49691273345333936,1.0737331293660661,0.20348236863387278,0.24426725722831125,0.49335747979782063,0.30228581609390115,0.6829385266633711,0.30228581609390115,0.7204347522014336,13.086295311316045,51.723467808775595,11.291078481857973
8,87007,meta,1,0,0,0,0,189,18.900000000000002,272.3378892466456,9.530646495030659,0.496933643415846,1.0787134062040116,0.11597082838222038,0.16192859541859914,0.3743416955690796,0.18775194451913746,1.2102346436676676,0.18775194451913746,0.660498433891574,7.137634577240258,45.73893727101385,9.96167697780185
9,87008,meta,1,0,0,0,0,196,19.6,269.4054042576912,9.098850676390299,0.4978481846024066,1.0711847559317815,0.210100566430367,0.29632564876081724,0.5992642664568244,0.5102488146212153,0.7428544392298437,0.5102488146212153,0.9726214591327568,9.65899291238393,43.80170632973313,9.49196517763768
10,87009,meta,1,0,0,0,0,192,19.200000000000003,247.15900515179862,7.620545163878192,0.495526593834768,1.0691442892662362,0.1334826213393073,0.196714643993428,0.5707626210254055,0.4017319916458607,0.8689823980493623,0.4017319916458607,1.0612935281168816,7.036597245709935,53.715711196511975,7.363510251330888
11,87010,meta,1,0,0,0,0,259,25.900000000000002,287.70607591632216,8.92769693577839,0.4953750684764017,1.0944741813483232,0.08411863294653038,0.09929442327794082,0.24073965307236023,0.23357014327869008,1.1439147414884159,0.23357014327869008,0.7444829735801961,12.826810075804527,62.12335520810446,9.110835073419254
12,87011,meta,1,0,0,0,0,251,25.1,259.5072573418338,8.178494861483552,0.4935757496089828,1.165257273009066,0.15896787791654554,0.1892545549398164,0.48239398686031754,0.039281294648731147,0.9531040490212197,0.039281294648731147,0.8061113701104545,10.316598835062685,47.09469724670053,7.412619641240048
13,87012,meta,1,0,0,0,0,193,19.3,389.3245745284722,10.958435776800412,0.4979482213576701,1.0261686916044217,0.20761739951577546,0.25934016109614505,0.6056086840650832,0.6012524591746712,1.0435180164612674,0.6012524591746712,1.2786107855202091,9.067490884681868,45.426961252372706,12.12524514569526
14,87013,meta,1,0,0,0,0,220,22.0,248.40913091561498,10.215593080662883,0.49682621799719145,1.0657456993418508,0.1292293867648056,0.1580155809377498,0.3907071651283549,0.05453728278690828,0.4063612009841357,0.05453728278690828,0.8590607281496222,13.729665869747233,59.235362863540644,9.778972110135335
15,87014,meta,1,0,0,0,0,250,25.0,460.0091989533715,15.28770815604195,0.4961475810349518,1.025595470059091,0.3104240962881195,0.3842334710346118,0.8078614508857633,0.37279539197910705,1.3875535978778428,0.37279539197910705,1.2640821098604844,13.382291869075795,66.66046761386096,15.202335313792924
16,87015,meta,1,0,0,0,0,250,25.0,455.133718230673,14.627439660132882,0.4974253179573199,1.0236013029360618,0.20953215903282824,0.2506641513733529,0.4657053885335497,0.24600914601761836,0.9147359927758971,0.24600914601761836,0.9282630544785453,10.207533465193974,63.34440143313259,14.296589050076115
17,87016,meta,1,0,0,0,0,185,18.5,279.2063680489546,8.95189663216738,0.4955452749321494,1.095441562867462,0.29632266329220236,0.3486007215464613,0.5316707190208888,0.17423948798921607,1.01850883297899,0.17423948798921607,0.9103598669160564,7.156593080516601,48.98071184735745,9.904719070231044
18,87017,meta,1,0,0,0,0,240,24.0,284.6750002678089,11.133668841277599,0.49961284650297655,1.0505477841494433,0.22425678374905939,0.270646152491212,0.4992092518183793,0.25362822670079266,0.798993920674408,0.25362822670079266,0.964681990297588,15.522555342976833,66.19058608524503,12.023927881510739
19,87018,meta,1,0,0,0,0,198,19.8,332.16780051317664,10.025599501976778,0.495574753948174,1.113634092339974,0.1450834241877931,0.17692623971559185,0.3917804756115735,0.06873594080340967,1.147953641208372,0.06873594080340967,0.9893569602345412,12.09986851674989,41.936226781085125,9.076050663957721
