numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
23,87022,colision_dinamica,0,0,1,0,0,92,9.200000000000001,-352.2331605650325,4.075474041049783,7.491425044605987,nan,0.08318825713413368,0.09217639988223827,0.13260338227119917,0.37173461618758075,-0.028727979069663956,-0.028727979069663956,0.411285825857359,5.724892729893327,23.254836397990584,3.712645519612778
24,87023,colision_dinamica,0,0,1,0,0,179,17.900000000000002,-221.32929769475368,7.503622647151986,4.483609663306589,nan,0.29602495855557276,0.40189264306343986,0.9176713087219355,0.2926376762332007,-0.025138749108483793,-0.025138749108483793,0.6582305893119454,14.81667704321444,44.04176310095936,6.593612772809249
27,87026,colision_estatica,0,1,0,0,0,172,17.2,77.29007680526283,8.255530422252713,4.697544776648576,nan,0.1818371537400416,0.21844300934577637,0.48207910914251983,-0.0040645366148562845,0.7969797938119209,-0.0040645366148562845,0.8552470299378371,11.470391933619975,38.44567079311236,7.726292548426227
29,87028,colision_estatica,0,1,0,0,0,185,18.5,-0.8468198409103707,9.093342175115602,5.9285785376602576,nan,0.20327759972600715,0.23908956190477573,0.45548055432940204,-0.010373210980550496,1.2741285203850634,-0.010373210980550496,0.4130355559257308,15.798481896519661,48.34211985766888,8.678153579090276
34,87033,colision_dinamica,0,0,1,0,0,155,15.5,-272.40223465222226,6.5095532908027,4.126491997435227,nan,0.13053352154586592,0.1726961535465823,0.5601023861038739,0.3152417398757067,-0.014918726204561639,-0.014918726204561639,0.5135311755368096,10.265580086410045,35.68759511057287,6.360330754649919
53,87052,colision_estatica,0,1,0,0,0,145,14.5,-22.10236440826864,7.7155644617184675,1.872005647872595,nan,0.1534787454796482,0.17730982857830432,0.34793863004968584,-0.022309577079550835,0.5698018984761674,-0.022309577079550835,0.8203687649298513,10.21615575812757,36.60413654278963,8.043097072458584
59,87058,colision_estatica,0,1,0,0,0,174,17.400000000000002,62.259024873415655,8.71026712073666,2.95729245014567,nan,0.31460061527546923,0.3591393945384539,0.5821955173856139,-0.003736270108003148,1.7996227786974124,-0.003736270108003148,0.8414284570974329,12.008670791424812,43.710744542255995,8.304452640925332
60,87059,colision_dinamica,0,0,1,0,0,157,15.700000000000001,-444.7978874062868,2.4888734751862143,7.197514501593134,nan,0.257824327066458,0.3917646830984337,0.7345097018672613,0.37729548168050575,-0.017162933484719978,-0.017162933484719978,0.6786959937006662,8.1378924369812,34.520949583966285,1.8004270787429026
66,87065,colision_dinamica,0,0,1,0,0,134,13.4,-239.04413727958067,5.5249864914536,3.0854795392265815,nan,0.1780848166844284,0.19999948344029642,0.3053159207822865,0.44029783245347764,-0.012044152651295936,-0.012044152651295936,0.7303891032545051,9.119675448536873,29.68640376199037,4.803906981096601
74,87073,colision_dinamica,0,0,1,0,0,178,17.8,-353.22278400962637,8.910253783740343,1.2028925151514223,nan,0.11839412405009377,0.16359960893250342,0.3784953489114731,0.05347499876454548,-0.004917214294032413,-0.004917214294032413,0.392789969580786,11.632500328868627,36.5356168732047,8.631907585684026
77,87076,colision_estatica,0,1,0,0,0,148,14.8,-155.2623847361641,4.903159171897794,2.7938001395630243,nan,0.08105972657785865,0.1252600484243822,0.40815409698018607,-0.014986553492836285,0.20436685980845049,-0.014986553492836285,0.40178538838823546,6.867299744486809,33.58294272273778,5.366827968250536
78,87077,colision_dinamica,0,0,1,0,0,235,23.5,-688.06723123498,2.917417473830595,6.615294509499298,nan,0.4131736707107606,0.4896109030159086,0.7532109777925056,1.086450110233117,-0.02669315965990443,-0.02669315965990443,0.8486991518267281,7.235481131076813,48.30166113488376,6.383104963984522
80,87079,colision_estatica,0,1,0,0,0,55,5.5,-9.649061637056306,4.679094958477132,9.521022186395223,nan,0.2288193258746898,0.26475754642293414,0.4759923965933375,-0.006478120217637773,1.6181401746969257,-0.006478120217637773,0.631870420826892,3.3689254403114317,12.161373078078032,4.800856344630271
98,87097,colision_dinamica,0,0,1,0,0,141,14.100000000000001,-399.5090431469109,3.0344129161458055,4.782873211856463,nan,0.17183733399695808,0.21569679043637252,0.439856182402494,0.06919530115204237,-0.0221576567792644,-0.0221576567792644,0.3265840686171053,6.9516704604029655,22.420419869199396,1.823355762652431
