numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
4,132003,colision_estatica,0,1,0,0,0,177,17.7,4.885147030941141,7.6587779637682845,7.348202143595721,nan,0.23074722095363628,0.29771284569610446,0.5894583109667018,-0.01688468474586846,1.5402518576033573,-0.01688468474586846,0.7320163253414387,14.689624320901931,45.28016854654997,7.217726691118291
14,132013,colision_estatica,0,1,0,0,0,262,26.200000000000003,-431.6112678151525,2.157920290173774,10.91437134700801,nan,0.5182843201160541,0.5477952454143444,0.8684107026877976,-0.012994022842452657,0.4075052887089633,-0.012994022842452657,0.5386882565870488,6.32113324329257,60.390378413652066,1.2992363110665544
15,132014,colision_dinamica,0,0,1,0,0,153,15.3,-594.7613527552785,3.0694833417192298,4.712461575591579,nan,0.364045588520039,0.3793468393327398,0.4993625785127829,0.549118325633278,-0.01599499991252873,-0.01599499991252873,0.7457153963867527,12.198352169990539,37.274351474642756,3.576933376624675
17,132016,colision_estatica,0,1,0,0,0,35,3.5,-199.04761571863918,0.42719486961083464,7.0157790785184995,nan,0.08079978302667816,0.1296428822151318,0.3779002981415378,-0.025473024229816288,0.7138828891077237,-0.025473024229816288,0.265380081449629,2.207230961322784,8.208648589253427,1.1855085322409618
19,132018,colision_estatica,0,1,0,0,0,241,24.1,-359.42938357825835,7.548938572749346,5.671880023444362,nan,0.33600115989829976,0.4495433920422064,1.3929757561916134,-0.005547327502895549,0.14793642118531924,-0.005547327502895549,1.1426386754175268,17.79958748500794,63.07863591011846,8.26960066726375
22,132021,colision_estatica,0,1,0,0,0,222,22.200000000000003,-247.53187299822588,1.619057909516572,7.139505022028109,nan,0.18903928986818058,0.20734143949803105,0.5371860939512576,-0.02597444752788619,2.160465725106232,-0.02597444752788619,0.518204800211206,5.1161492366343735,48.68856872527394,1.2837927543204228
31,132030,colision_dinamica,0,0,1,0,0,195,19.5,-434.69571770652914,9.276705137014673,11.679593209021805,nan,0.33970571238463043,0.3984289321699884,0.6667721380104954,0.3139005560370003,-0.01604443480680995,-0.01604443480680995,0.7486836937661852,12.961094929062527,44.1611051062122,8.583931486051545
37,132036,colision_dinamica,0,0,1,0,0,160,16.0,-440.9844723663979,2.6130781809016614,5.1916485793416856,nan,0.29532211549453846,0.3375815112157183,0.5625401481114789,0.909169344152993,-0.06490965027244494,-0.06490965027244494,0.927056979272934,8.549595206975937,37.82583570480345,2.6991504600487
42,132041,colision_estatica,0,1,0,0,0,70,7.0,-54.64030125597897,3.544384451304909,9.069136725563972,nan,0.24218688913200187,0.2728845754838477,0.3877275422107738,-0.0019271825541290477,2.8072936851506887,-0.0019271825541290477,0.47644867213619363,7.6250660657882685,20.068371035158634,3.1787918046424797
44,132043,colision_estatica,0,1,0,0,0,177,17.7,-191.91506968169443,4.544597632019876,5.638873499448284,nan,0.3841066215941921,0.49838041245289705,0.7793554039790689,-0.009133016194732613,1.9697276103740888,-0.009133016194732613,0.3747059600212458,12.347059696353973,37.02800411470234,3.2102941159751888
47,132046,colision_dinamica,0,0,1,0,0,171,17.1,-214.23919258336042,8.081625180494733,5.9056834764355095,nan,0.16647938086471054,0.23701294023753416,0.5631013608264999,0.4475404309006914,-0.0042330891090202605,-0.0042330891090202605,0.9227106458555431,14.961380571871995,44.34672167934477,7.170899404479437
