episodio,tasa_exito,tasa_colision_dinamica,tasa_colision_estatica,tasa_fuera_mapa,tasa_timeout,recompensa_media,distancia_final_media,clearance_minimo_promedio_exitos,numero_metas,numero_colisiones_dinamicas,numero_colisiones_estaticas,numero_fuera_mapa,numero_timeout,nuevo_mejor,criterio_1_exito,criterio_2_timeout,criterio_3_colision_dinamica,criterio_4_colision_estatica,criterio_5_fuera_mapa,criterio_6_distancia_final,criterio_7_clearance
20,0.82,0.06,0.04,0.0,0.08,224.63150185057748,1.150176490380358,0.38248843357494955,41,3,2,0,4,1,0.82,-0.08,-0.06,-0.04,-0.0,-1.150176490380358,0.38248843357494955
40,0.82,0.06,0.04,0.0,0.08,224.63150185057748,1.150176490380358,0.38248843357494955,41,3,2,0,4,0,0.82,-0.08,-0.06,-0.04,-0.0,-1.150176490380358,0.38248843357494955
60,0.1,0.34,0.24,0.06,0.26,-273.5112074685718,5.3484473099701795,0.27343602528598315,5,17,12,3,13,0,0.1,-0.26,-0.34,-0.24,-0.06,-5.3484473099701795,0.27343602528598315
80,0.58,0.36,0.0,0.0,0.06,44.79800549752739,2.713767529795234,0.23412146647121365,29,18,0,0,3,0,0.58,-0.06,-0.36,-0.0,-0.0,-2.713767529795234,0.23412146647121365
100,0.74,0.14,0.02,0.0,0.1,160.23640321159638,1.424328172613511,0.30059278368855474,37,7,1,0,5,0,0.74,-0.1,-0.14,-0.02,-0.0,-1.424328172613511,0.30059278368855474
120,0.68,0.18,0.1,0.0,0.04,149.06956574267576,2.111415357448203,0.30821931316402873,34,9,5,0,2,0,0.68,-0.04,-0.18,-0.1,-0.0,-2.111415357448203,0.30821931316402873
140,0.68,0.14,0.04,0.02,0.12,158.23691186213745,1.7204932595119473,0.3640353146233525,34,7,2,1,6,0,0.68,-0.12,-0.14,-0.04,-0.02,-1.7204932595119473,0.3640353146233525
160,0.7,0.22,0.04,0.0,0.04,132.99186016754854,1.8956837214441042,0.35821279757920754,35,11,2,0,2,0,0.7,-0.04,-0.22,-0.04,-0.0,-1.8956837214441042,0.35821279757920754
180,0.84,0.12,0.02,0.0,0.02,196.71988123537656,1.1379470964223883,0.3297676674907273,42,6,1,0,1,1,0.84,-0.02,-0.12,-0.02,-0.0,-1.1379470964223883,0.3297676674907273
200,0.84,0.12,0.02,0.0,0.02,197.4219019366292,1.1084840844364434,0.31521681473800556,42,6,1,0,1,1,0.84,-0.02,-0.12,-0.02,-0.0,-1.1084840844364434,0.31521681473800556
220,0.88,0.04,0.08,0.0,0.0,191.0718406999613,0.9142808743532896,0.2839583260530396,44,2,4,0,0,1,0.88,-0.0,-0.04,-0.08,-0.0,-0.9142808743532896,0.2839583260530396
240,0.8,0.14,0.04,0.0,0.02,176.3129340230121,1.4571178662871844,0.2698042650544409,40,7,2,0,1,0,0.8,-0.02,-0.14,-0.04,-0.0,-1.4571178662871844,0.2698042650544409
260,0.92,0.06,0.0,0.0,0.02,243.25380121652347,0.7367183098554918,0.31880402284151016,46,3,0,0,1,1,0.92,-0.02,-0.06,-0.0,-0.0,-0.7367183098554918,0.31880402284151016
280,0.88,0.06,0.04,0.0,0.02,222.34582771066667,1.0596636582194288,0.33760397015636245,44,3,2,0,1,0,0.88,-0.02,-0.06,-0.04,-0.0,-1.0596636582194288,0.33760397015636245
300,0.88,0.06,0.02,0.0,0.04,216.69529133096125,0.999317393008004,0.3307310739452531,44,3,1,0,2,0,0.88,-0.04,-0.06,-0.02,-0.0,-0.999317393008004,0.3307310739452531
320,0.76,0.16,0.0,0.0,0.08,170.47362703568254,1.6095497081683505,0.3496220999578837,38,8,0,0,4,0,0.76,-0.08,-0.16,-0.0,-0.0,-1.6095497081683505,0.3496220999578837
340,0.8,0.16,0.0,0.0,0.04,170.38263523445588,1.4006625177387668,0.2837781506930187,40,8,0,0,2,0,0.8,-0.04,-0.16,-0.0,-0.0,-1.4006625177387668,0.2837781506930187
360,0.82,0.1,0.02,0.0,0.06,185.46965484128225,1.39845143148217,0.2960980360927303,41,5,1,0,3,0,0.82,-0.06,-0.1,-0.02,-0.0,-1.39845143148217,0.2960980360927303
380,0.78,0.14,0.04,0.0,0.04,172.61704157437518,1.4384299806166438,0.3108235675131802,39,7,2,0,2,0,0.78,-0.04,-0.14,-0.04,-0.0,-1.4384299806166438,0.3108235675131802
400,0.76,0.12,0.06,0.0,0.06,157.42241021110937,1.7124173213148162,0.3059100372884371,38,6,3,0,3,0,0.76,-0.06,-0.12,-0.06,-0.0,-1.7124173213148162,0.3059100372884371
