episodio,tasa_exito,timeout,colision_dinamica,colision_estatica,fuera_mapa,distancia_final_media,clearance_exitos
20,0.0,0.0,0.4,0.44,0.16,7.728873159860071,-inf
40,0.0,0.0,0.4,0.44,0.16,7.728873159860071,-inf
60,0.0,0.0,0.4,0.44,0.16,7.728873159860071,-inf
80,0.0,0.0,0.4,0.44,0.16,7.728873159860071,-inf
100,0.0,0.0,0.4,0.44,0.16,7.728873159860071,-inf
120,0.0,0.28,0.18,0.3,0.24,9.845126325494242,-inf
140,0.0,0.0,0.4,0.4,0.2,7.786073246541129,-inf
160,0.06,0.0,0.38,0.52,0.04,6.811234268444053,inf
180,0.1,0.0,0.78,0.12,0.0,6.412925562335684,inf
200,0.12,0.0,0.82,0.06,0.0,6.1463325541183504,inf
220,0.54,0.0,0.44,0.02,0.0,3.4890388187861214,inf
240,0.26,0.0,0.72,0.02,0.0,5.252394348700937,inf
260,0.74,0.0,0.26,0.0,0.0,1.945413308868509,inf
280,0.78,0.0,0.22,0.0,0.0,1.8919959941672002,inf
300,0.82,0.02,0.16,0.0,0.0,1.691554308103442,inf
320,0.8,0.02,0.16,0.02,0.0,1.5768877146476061,inf
340,0.76,0.06,0.18,0.0,0.0,1.3936027706143783,inf
360,0.68,0.08,0.24,0.0,0.0,2.0942951322222694,inf
380,0.78,0.1,0.12,0.0,0.0,1.1726543645304321,inf
400,0.72,0.08,0.18,0.02,0.0,1.4426824539989287,inf
